mnemonic,format,opcode_hex,func_hex,cycles,spec_ref
ADD,R,00,20,1,2.3
ADDU,R,00,21,1,2.3
SUB,R,00,22,1,2.3
SUBU,R,00,23,1,2.3
MUL,R,00,18,2,2.3
MULH,R,00,19,2,2.3
DIV,R,00,1A,8,2.3
DIVU,R,00,1B,8,2.3
MOD,R,00,1C,8,2.3
AND,R,00,24,1,2.3
OR,R,00,25,1,2.3
XOR,R,00,26,1,2.3
NOR,R,00,27,1,2.3
SLL,R,00,00,1,2.3
SRL,R,00,02,1,2.3
SRA,R,00,03,1,2.3
SLLV,R,00,04,1,2.3
SRLV,R,00,06,1,2.3
SRAV,R,00,07,1,2.3
SLT,R,00,2A,1,2.3
SLTU,R,00,2B,1,2.3
JR,R,00,08,2,2.3
JALR,R,00,09,2,2.3
ADDI,I,08,,1,2.3
ADDIU,I,09,,1,2.3
ANDI,I,0C,,1,2.3
ORI,I,0D,,1,2.3
XORI,I,0E,,1,2.3
LUI,I,0F,,1,2.3
SLTI,I,0A,,1,2.3
SLTIU,I,0B,,1,2.3
BEQ,I,04,,2,2.3
BNE,I,05,,2,2.3
BLT,I,14,,2,2.3
BGT,I,15,,2,2.3
BLE,I,16,,2,2.3
BGE,I,17,,2,2.3
LB,I,20,,3,2.3
LBU,I,24,,3,2.3
LH,I,21,,3,2.3
LHU,I,25,,3,2.3
LW,I,23,,3,2.3
SB,I,28,,3,2.3
SH,I,29,,3,2.3
SW,I,2B,,3,2.3
J,J,02,,2,2.3
JAL,J,03,,2,2.3
SYSCALL,S,3F,00,4,2.3
BREAK,S,3F,01,1,2.3
NOP,S,3F,02,1,2.3
HALT,S,3F,03,1,2.3
ERET,S,3F,04,2,2.3
MFC0,S,3F,10,1,2.3
MTC0,S,3F,11,1,2.3
